SecurityId;SentTimestamp;ExecutedTimestamp;ExecPrice;Qty;Side;Type
FutureB;1544169548013593827;1544169548013593827;10869.000000;1.000000;BUY;Market
FutureA;1544169548013593827;1544169548013593827;10870.000000;1.000000;SELL;Market
FutureB;1544169595044799394;1544169595044799394;10858.000000;1.000000;SELL;Market
FutureA;1544169595044799394;1544169595044799394;10857.500000;1.000000;BUY;Market
FutureA;1544169635474835781;1544169635474835781;10863.500000;1.000000;BUY;Market
FutureB;1544169635474835781;1544169635474835781;10864.000000;1.000000;SELL;Market
FutureB;1544169635474906200;1544169635474906200;10862.000000;1.000000;SELL;Market
FutureA;1544169635474906200;1544169635474906200;10863.500000;1.000000;BUY;Market
FutureA;1544169898367311299;1544169898367311299;10872.500000;1.000000;BUY;Market
FutureB;1544169898367311299;1544169898367311299;10872.000000;1.000000;SELL;Market
FutureB;1544170238737962428;1544170238737962428;10863.000000;1.000000;BUY;Market
FutureA;1544170238737962428;1544170238737962428;10863.500000;1.000000;SELL;Market
FutureA;1544170238738044380;1544170238738044380;10863.500000;1.000000;SELL;Market
FutureB;1544170238738044380;1544170238738044380;10863.000000;1.000000;BUY;Market
FutureB;1544170245268893655;1544170245268893655;10866.000000;1.000000;BUY;Market
FutureA;1544170245268893655;1544170245268893655;10867.000000;1.000000;SELL;Market
FutureB;1544170274363235475;1544170274363235475;10862.000000;1.000000;SELL;Market
FutureA;1544170274363235475;1544170274363235475;10861.000000;1.000000;BUY;Market
FutureB;1544170277925532829;1544170277925532829;10859.000000;1.000000;BUY;Market
FutureA;1544170277925532829;1544170277925532829;10860.000000;1.000000;SELL;Market
FutureA;1544170277925608210;1544170277925608210;10860.000000;1.000000;SELL;Market
FutureB;1544170277925608210;1544170277925608210;10859.000000;1.000000;BUY;Market
FutureB;1544170398113832767;1544170398113832767;10861.000000;1.000000;SELL;Market
FutureA;1544170398113832767;1544170398113832767;10860.000000;1.000000;BUY;Market
FutureA;1544170521103782921;1544170521103782921;10859.500000;1.000000;BUY;Market
FutureB;1544170521103782921;1544170521103782921;10860.000000;1.000000;SELL;Market
FutureB;1544170806759663552;1544170806759663552;10858.000000;1.000000;BUY;Market
FutureA;1544170806759663552;1544170806759663552;10858.500000;1.000000;SELL;Market
FutureA;1544171384278337901;1544171384278337901;10867.000000;1.000000;SELL;Market
FutureB;1544171384278337901;1544171384278337901;10866.000000;1.000000;BUY;Market
FutureB;1544171420224549124;1544171420224549124;10866.000000;1.000000;SELL;Market
FutureA;1544171420224549124;1544171420224549124;10865.500000;1.000000;BUY;Market
FutureB;1544171420224573372;1544171420224573372;10866.000000;1.000000;SELL;Market
FutureA;1544171420224573372;1544171420224573372;10865.500000;1.000000;BUY;Market
FutureB;1544171445766371624;1544171445766371624;10872.000000;1.000000;SELL;Market
FutureA;1544171445766371624;1544171445766371624;10871.500000;1.000000;BUY;Market
FutureB;1544171741269233342;1544171741269233342;10881.000000;1.000000;BUY;Market
FutureA;1544171741269233342;1544171741269233342;10881.500000;1.000000;SELL;Market
FutureB;1544172071068084678;1544172071068084678;10888.000000;1.000000;BUY;Market
FutureA;1544172071068084678;1544172071068084678;10890.000000;1.000000;SELL;Market
FutureB;1544172071068185551;1544172071068185551;10889.000000;1.000000;BUY;Market
FutureA;1544172071068185551;1544172071068185551;10890.000000;1.000000;SELL;Market
FutureB;1544172929693016908;1544172929693016908;10878.000000;1.000000;SELL;Market
FutureA;1544172929693016908;1544172929693016908;10876.500000;1.000000;BUY;Market
FutureB;1544172929693255674;1544172929693255674;10877.000000;1.000000;SELL;Market
FutureA;1544172929693255674;1544172929693255674;10876.500000;1.000000;BUY;Market
FutureB;1544172929693298949;1544172929693298949;10877.000000;1.000000;SELL;Market
FutureA;1544172929693298949;1544172929693298949;10876.500000;1.000000;BUY;Market
FutureA;1544172961320059270;1544172961320059270;10879.500000;1.000000;BUY;Market
FutureB;1544172961320059270;1544172961320059270;10880.000000;1.000000;SELL;Market
FutureA;1544173294242438404;1544173294242438404;10873.500000;1.000000;SELL;Market
FutureB;1544173294242438404;1544173294242438404;10873.000000;1.000000;BUY;Market
FutureB;1544173514258518386;1544173514258518386;10879.000000;1.000000;SELL;Market
FutureA;1544173514258518386;1544173514258518386;10878.500000;1.000000;BUY;Market
FutureB;1544174349875278987;1544174349875278987;10897.000000;1.000000;BUY;Market
FutureA;1544174349875278987;1544174349875278987;10897.500000;1.000000;SELL;Market
FutureB;1544174757076941225;1544174757076941225;10901.000000;1.000000;BUY;Market
FutureA;1544174757076941225;1544174757076941225;10901.000000;1.000000;SELL;Market
FutureA;1544174757077147918;1544174757077147918;10901.500000;1.000000;SELL;Market
FutureB;1544174757077147918;1544174757077147918;10901.000000;1.000000;BUY;Market
FutureB;1544174757077202476;1544174757077202476;10901.000000;1.000000;BUY;Market
FutureA;1544174757077202476;1544174757077202476;10901.500000;1.000000;SELL;Market
FutureB;1544176333407227317;1544176333407227317;10920.000000;1.000000;SELL;Market
FutureA;1544176333407227317;1544176333407227317;10919.500000;1.000000;BUY;Market
FutureB;1544176358723311867;1544176358723311867;10922.000000;1.000000;SELL;Market
FutureA;1544176358723311867;1544176358723311867;10921.500000;1.000000;BUY;Market
FutureB;1544176358723666832;1544176358723666832;10922.000000;1.000000;SELL;Market
