SecurityId;SentTimestamp;ExecutedTimestamp;ExecPrice;Qty;Side;Type
FutureB;1544173294242438404;1544173294243438404;10874.000000;1.000000;BUY;Market
FutureA;1544173294242438404;1544173294282438404;10872.500000;1.000000;SELL;Market
FutureB;1544173514258518386;1544173514259518386;10878.000000;1.000000;SELL;Market
FutureA;1544173514258518386;1544173514298518386;10879.500000;1.000000;BUY;Market
FutureB;1544174349875278987;1544174349876278987;10899.000000;1.000000;BUY;Market
FutureA;1544174349875278987;1544174349915278987;10898.000000;1.000000;SELL;Market
FutureB;1544174757076941225;1544174757077941225;10902.000000;1.000000;BUY;Market
FutureA;1544174757076941225;1544174757116941225;10902.000000;1.000000;SELL;Market
FutureB;1544176333407227317;1544176333408227317;10919.000000;1.000000;SELL;Market
FutureA;1544176333407227317;1544176333447227317;10920.500000;1.000000;BUY;Market
FutureB;1544176358723311867;1544176358724311867;10920.000000;1.000000;SELL;Market
FutureA;1544176358723311867;1544176358763311867;10921.500000;1.000000;BUY;Market
FutureB;1544177313653306158;1544177313654306158;10905.000000;1.000000;BUY;Market
FutureA;1544177313653306158;1544177313693306158;10903.500000;1.000000;SELL;Market
FutureB;1544177567562397226;1544177567563397226;10893.000000;1.000000;BUY;Market
FutureA;1544177567562397226;1544177567602397226;10892.000000;1.000000;SELL;Market
FutureA;1544177852627686620;1544177852667686620;10894.000000;1.000000;BUY;Market
FutureB;1544177852627686620;1544177852628686620;10893.000000;1.000000;SELL;Market
FutureB;1544177935429134041;1544177935430134041;10889.000000;1.000000;SELL;Market
FutureA;1544177935429134041;1544177935469134041;10890.000000;1.000000;BUY;Market
FutureB;1544180898068415361;1544180898069415361;10877.000000;1.000000;BUY;Market
FutureA;1544180898068415361;1544180898108415361;10875.500000;1.000000;SELL;Market
FutureB;1544181868868284097;1544181868869284097;10881.000000;1.000000;BUY;Market
FutureA;1544181868868284097;1544181868908284097;10878.500000;1.000000;SELL;Market
FutureB;1544183199309740276;1544183199310740276;10868.000000;1.000000;SELL;Market
FutureA;1544183199309740276;1544183199349740276;10869.500000;1.000000;BUY;Market
FutureB;1544183376110963612;1544183376111963612;10863.000000;1.000000;SELL;Market
FutureA;1544183376110963612;1544183376150963612;10864.000000;1.000000;BUY;Market
FutureB;1544183999548426525;1544183999549426525;10861.000000;1.000000;BUY;Market
FutureA;1544183999548426525;1544183999588426525;10860.000000;1.000000;SELL;Market
FutureB;1544184005062271935;1544184005063271935;10861.000000;1.000000;SELL;Market
FutureA;1544184005062271935;1544184005102271935;10862.000000;1.000000;BUY;Market
FutureB;1544185231730085627;1544185231731085627;10869.000000;1.000000;BUY;Market
FutureA;1544185231730085627;1544185231770085627;10868.500000;1.000000;SELL;Market
FutureB;1544185250439398144;1544185250440398144;10869.000000;1.000000;BUY;Market
FutureA;1544185250439398144;1544185250479398144;10868.000000;1.000000;SELL;Market
FutureB;1544185538946618642;1544185538947618642;10863.000000;1.000000;SELL;Market
FutureA;1544185538946618642;1544185538986618642;10864.000000;1.000000;BUY;Market
FutureB;1544187152920412095;1544187152921412095;10857.000000;1.000000;SELL;Market
FutureA;1544187152920412095;1544187152960412095;10857.000000;1.000000;BUY;Market
FutureB;1544188029356082679;1544188029357082679;10852.000000;1.000000;BUY;Market
FutureA;1544188029356082679;1544188029396082679;10850.500000;1.000000;SELL;Market
FutureB;1544188061967252363;1544188061968252363;10849.000000;1.000000;BUY;Market
FutureA;1544188061967252363;1544188062007252363;10848.000000;1.000000;SELL;Market
FutureB;1544188138244572006;1544188138245572006;10849.000000;1.000000;SELL;Market
FutureA;1544188138244572006;1544188138284572006;10850.500000;1.000000;BUY;Market
FutureB;1544188342969541224;1544188342970541224;10847.000000;1.000000;BUY;Market
FutureA;1544188342969541224;1544188343009541224;10845.000000;1.000000;SELL;Market
FutureB;1544188509802145282;1544188509803145282;10867.000000;1.000000;SELL;Market
FutureA;1544188509802145282;1544188509842145282;10868.500000;1.000000;BUY;Market
FutureB;1544188609075179122;1544188609076179122;10870.000000;1.000000;BUY;Market
FutureA;1544188609075179122;1544188609115179122;10869.000000;1.000000;SELL;Market
FutureB;1544189250271497420;1544189250272497420;10877.000000;1.000000;SELL;Market
FutureA;1544189250271497420;1544189250311497420;10877.500000;1.000000;BUY;Market
FutureB;1544189337332267076;1544189337333267076;10879.000000;1.000000;BUY;Market
FutureA;1544189337332267076;1544189337372267076;10877.500000;1.000000;SELL;Market
FutureA;1544189557471453632;1544189557511453632;10871.500000;1.000000;BUY;Market
FutureB;1544189557471453632;1544189557472453632;10870.000000;1.000000;SELL;Market
FutureB;1544189775362807267;1544189775363807267;10877.000000;1.000000;SELL;Market
FutureA;1544189775362807267;1544189775402807267;10878.000000;1.000000;BUY;Market
